,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0
0.5,1.1745,1.1728,1.1714,1.1702,1.1691,1.1681,1.1672,1.1664,1.1656,1.1649,1.1643,1.1637,1.1631,1.1626,1.1621,1.1616,1.1612,1.1607,1.1603,1.1599,1.1595,1.1592,1.1588,1.1585,1.1581,1.1578,1.1575,1.1572,1.1569,1.1566,1.1564,1.1561,1.1558,1.1556,1.1554,1.1551,1.1549,1.1547,1.1544,1.1542,1.154,1.1538,1.1536,1.1534,1.1532,1.153
0.6,1.1858,1.184,1.1826,1.1813,1.1802,1.1792,1.1782,1.1774,1.1766,1.1759,1.1752,1.1746,1.174,1.1734,1.1729,1.1724,1.1719,1.1714,1.171,1.1705,1.1701,1.1697,1.1694,1.169,1.1687,1.1683,1.168,1.1677,1.1674,1.1671,1.1668,1.1665,1.1662,1.1659,1.1657,1.1654,1.1652,1.1649,1.1647,1.1645,1.1642,1.164,1.1638,1.1636,1.1634,1.1632
0.7,1.1968,1.195,1.1936,1.1923,1.1911,1.19,1.1891,1.1882,1.1874,1.1867,1.186,1.1853,1.1847,1.1841,1.1835,1.183,1.1825,1.182,1.1815,1.1811,1.1807,1.1803,1.1799,1.1795,1.1791,1.1788,1.1784,1.1781,1.1777,1.1774,1.1771,1.1768,1.1765,1.1763,1.176,1.1757,1.1754,1.1752,1.1749,1.1747,1.1745,1.1742,1.174,1.1738,1.1735,1.1733
0.8,1.2074,1.2057,1.2042,1.2029,1.2017,1.2006,1.1996,1.1987,1.1979,1.1971,1.1964,1.1957,1.1951,1.1945,1.1939,1.1934,1.1928,1.1923,1.1919,1.1914,1.191,1.1905,1.1901,1.1897,1.1894,1.189,1.1886,1.1883,1.1879,1.1876,1.1873,1.187,1.1867,1.1864,1.1861,1.1858,1.1855,1.1853,1.185,1.1848,1.1845,1.1843,1.184,1.1838,1.1836,1.1833
0.9,1.2176,1.2159,1.2144,1.213,1.2118,1.2108,1.2098,1.2089,1.208,1.2073,1.2065,1.2058,1.2052,1.2046,1.204,1.2034,1.2029,1.2024,1.2019,1.2014,1.201,1.2005,1.2001,1.1997,1.1993,1.1989,1.1986,1.1982,1.1978,1.1975,1.1972,1.1969,1.1965,1.1962,1.1959,1.1957,1.1954,1.1951,1.1948,1.1946,1.1943,1.1941,1.1938,1.1936,1.1933,1.1931
1.0,1.2273,1.2256,1.2241,1.2227,1.2216,1.2205,1.2195,1.2186,1.2177,1.2169,1.2162,1.2155,1.2148,1.2142,1.2136,1.2131,1.2125,1.212,1.2115,1.211,1.2106,1.2101,1.2097,1.2093,1.2089,1.2085,1.2081,1.2078,1.2074,1.2071,1.2067,1.2064,1.2061,1.2058,1.2055,1.2052,1.2049,1.2046,1.2043,1.2041,1.2038,1.2035,1.2033,1.203,1.2028,1.2025
1.1,1.2364,1.2347,1.2332,1.2319,1.2307,1.2296,1.2287,1.2278,1.2269,1.2261,1.2254,1.2247,1.224,1.2234,1.2228,1.2223,1.2217,1.2212,1.2207,1.2202,1.2198,1.2193,1.2189,1.2185,1.2181,1.2177,1.2173,1.2169,1.2166,1.2162,1.2159,1.2155,1.2152,1.2149,1.2146,1.2143,1.214,1.2137,1.2134,1.2132,1.2129,1.2126,1.2124,1.2121,1.2119,1.2116
1.2,1.2448,1.2431,1.2417,1.2404,1.2393,1.2382,1.2373,1.2364,1.2355,1.2348,1.234,1.2334,1.2327,1.2321,1.2315,1.2309,1.2304,1.2299,1.2294,1.2289,1.2284,1.228,1.2276,1.2272,1.2268,1.2264,1.226,1.2256,1.2253,1.2249,1.2246,1.2242,1.2239,1.2236,1.2233,1.223,1.2227,1.2224,1.2221,1.2219,1.2216,1.2213,1.2211,1.2208,1.2206,1.2203
1.3,1.2523,1.2508,1.2494,1.2482,1.2471,1.2461,1.2452,1.2443,1.2435,1.2428,1.2421,1.2414,1.2408,1.2402,1.2396,1.2391,1.2385,1.238,1.2375,1.2371,1.2366,1.2362,1.2358,1.2353,1.2349,1.2346,1.2342,1.2338,1.2335,1.2331,1.2328,1.2325,1.2321,1.2318,1.2315,1.2312,1.2309,1.2306,1.2304,1.2301,1.2298,1.2295,1.2293,1.229,1.2288,1.2285
